yyyymmdd,Mkt-RF,SMB,HML,RF
1/2/2019,0.23,0.56,1.1,0.01
1/3/2019,-2.45,0.4,1.21,0.01
1/4/2019,3.55,0.41,-0.7,0.01
1/7/2019,0.94,0.97,-0.77,0.01
1/8/2019,1.01,0.53,-0.64,0.01
1/9/2019,0.56,0.45,0.09,0.01
1/10/2019,0.42,0.03,-0.44,0.01
1/11/2019,-0.01,0.13,0.22,0.01
1/14/2019,-0.6,-0.6,0.95,0.01
1/15/2019,1.06,0.01,-0.87,0.01
1/16/2019,0.28,0.03,0.92,0.01
1/17/2019,0.75,0.11,-0.25,0.01
1/18/2019,1.29,-0.35,0.12,0.01
1/22/2019,-1.53,-0.4,0.33,0.01
1/23/2019,0.15,-0.39,-0.15,0.01
1/24/2019,0.23,0.43,-0.02,0.01
1/25/2019,0.9,0.45,-0.34,0.01
1/28/2019,-0.8,-0.17,0.64,0.01
1/29/2019,-0.19,-0.02,0.18,0.01
1/30/2019,1.51,-0.12,-0.95,0.01
1/31/2019,0.92,0.14,-1.07,0.01
2/1/2019,0.14,-0.15,0.4,0.01
2/4/2019,0.72,0.49,-0.47,0.01
2/5/2019,0.43,-0.08,-0.59,0.01
2/6/2019,-0.22,-0.02,0.07,0.01
2/7/2019,-0.93,-0.12,0.38,0.01
2/8/2019,0.09,0.05,-0.7,0.01
2/11/2019,0.14,0.65,0.22,0.01
2/12/2019,1.36,0.02,-0.19,0.01
2/13/2019,0.28,0.08,0.06,0.01
2/14/2019,-0.21,0.53,-0.57,0.01
2/15/2019,1.13,0.24,0.47,0.01
2/19/2019,0.19,0.28,0.29,0.01
2/20/2019,0.19,0.23,0.55,0.01
2/21/2019,-0.37,-0.06,-0.21,0.01
2/22/2019,0.65,0.56,-1.46,0.01
2/25/2019,0.15,-0.24,-0.18,0.01
2/26/2019,-0.16,-0.63,-0.3,0.01
2/27/2019,0.09,0.2,-0.11,0.01
2/28/2019,-0.31,0.02,-0.24,0.01
3/1/2019,0.72,0.29,-0.41,0.009
3/4/2019,-0.52,-0.42,0.37,0.009
3/5/2019,-0.17,-0.31,-0.23,0.009
3/6/2019,-0.84,-1.26,0.07,0.009
3/7/2019,-0.82,-0.06,-0.32,0.009
3/8/2019,-0.22,0.06,-0.17,0.009
3/11/2019,1.49,0.35,-0.54,0.009
3/12/2019,0.25,-0.27,-0.09,0.009
3/13/2019,0.68,-0.32,0.08,0.009
3/14/2019,-0.1,-0.4,0.3,0.009
3/15/2019,0.48,-0.27,-0.27,0.009
3/18/2019,0.46,0.13,0.43,0.009
3/19/2019,-0.09,-0.38,-0.92,0.009
3/20/2019,-0.39,0.02,-1.02,0.009
3/21/2019,1.11,0.3,-1.24,0.009
3/22/2019,-2.17,-1.51,-0.06,0.009
3/25/2019,-0.05,0.66,-0.27,0.009
3/26/2019,0.76,0.17,0.45,0.009
3/27/2019,-0.5,0.09,0.49,0.009
3/28/2019,0.4,0.35,0.02,0.009
3/29/2019,0.66,-0.21,-0.92,0.009
4/1/2019,1.19,-0.32,0.97,0.01
4/2/2019,-0.05,-0.12,-0.44,0.01
4/3/2019,0.27,0.21,-0.39,0.01
4/4/2019,0.19,0.2,0.93,0.01
4/5/2019,0.52,0.52,-0.08,0.01
4/8/2019,0.08,-0.3,0.1,0.01
4/9/2019,-0.65,-0.57,-0.13,0.01
4/10/2019,0.48,0.96,-0.11,0.01
4/11/2019,0,-0.32,0.39,0.01
4/12/2019,0.65,-0.52,0.64,0.01
4/15/2019,-0.09,-0.21,-0.54,0.01
4/16/2019,0.13,0.12,0.69,0.01
4/17/2019,-0.32,-0.71,0.8,0.01
4/18/2019,0.11,-0.24,-0.49,0.01
4/22/2019,0.11,-0.45,-0.54,0.01
4/23/2019,0.97,0.71,-0.51,0.01
4/24/2019,-0.23,0.28,-0.09,0.01
